ext_group,count_smoothed,probability,log_prior
1,5950.0,0.0031674730857948682,-5.7548211427917035
2,82459.0,0.04389691818177462,-3.1259111622359455
3,28565.0,0.01520653255390427,-4.186030170172816
4,230649.0,0.12278563021268916,-2.0973152879281907
5,168237.0,0.08956070076216323,-2.412838662782828
6,148099.0,0.0788402683248965,-2.5403313932927483
7,1.0,5.323484177806501e-07,-14.445967641331379
8,1.0,5.323484177806501e-07,-14.445967641331379
9,1505.0,0.0008011843687598784,-7.129419464148403
10,33151.0,0.017647882397846332,-4.0371394802598335
11,5892.0,0.0031365968775635905,-5.764616863748858
12,19579.0,0.010422849671727349,-4.563754799074106
13,1.0,5.323484177806501e-07,-14.445967641331379
14,10481.0,0.005579543766758993,-5.188648268161202
15,1460.0,0.0007772286899597491,-7.159775926628997
16,13506.0,0.00718989773054546,-4.935078331196592
17,182525.0,0.09716689495541316,-2.331325212407093
18,21025.0,0.011192625483838169,-4.49250015649023
19,2964.0,0.001577880710301847,-6.451672654915401
20,1.0,5.323484177806501e-07,-14.445967641331379
21,31892.0,0.016977655739860494,-4.075857167708993
22,34899.0,0.01857842743212691,-3.985754186846503
23,1499.0,0.0007979902782531945,-7.133414143228782
24,5963.0,0.0031743936152260166,-5.752638652208273
25,1.0,5.323484177806501e-07,-14.445967641331379
26,4503.0,0.0023971649252662675,-6.033468521029808
27,1.0,5.323484177806501e-07,-14.445967641331379
28,1.0,5.323484177806501e-07,-14.445967641331379
29,47891.0,0.025494698075933114,-3.6692847670266815
30,7635.0,0.004064480169755263,-5.505469423678647
31,5930.0,0.003156826117439255,-5.758188149339608
32,4512.0,0.002401956061026293,-6.031471848153484
33,12108.0,0.0064456746424881115,-5.04434597118977
34,5979.0,0.003182911189910507,-5.749959032450475
35,4456.0,0.002372144549630577,-6.043960859724259
36,1.0,5.323484177806501e-07,-14.445967641331379
37,1.0,5.323484177806501e-07,-14.445967641331379
38,4527.0,0.002409941287293003,-6.02815289389542
39,3051.0,0.0016241950226487634,-6.42274295661471
40,4447.0,0.002367353413870551,-6.045982650820683
41,1537.0,0.0008182195181288592,-7.1083798977927835
42,1548.0,0.0008240753507244463,-7.101248587181707
43,1.0,5.323484177806501e-07,-14.445967641331379
44,1589.0,0.000845901635853453,-7.075107474794663
45,9140.0,0.004865664538515142,-5.325551976883183
46,1.0,5.323484177806501e-07,-14.445967641331379
47,1478.0,0.0007868109614798008,-7.147522539823232
48,1.0,5.323484177806501e-07,-14.445967641331379
49,1470.0,0.0007825521741375557,-7.152949961558597
50,1.0,5.323484177806501e-07,-14.445967641331379
51,3019.0,0.0016071598732797826,-6.4332867116245405
52,10481.0,0.005579543766758993,-5.188648268161202
53,2965.0,0.0015784130587196275,-6.451335329899553
54,18210.0,0.009694064687785638,-4.636241468609725
55,6071.0,0.0032318872443463267,-5.734689026200945
56,1.0,5.323484177806501e-07,-14.445967641331379
57,1.0,5.323484177806501e-07,-14.445967641331379
58,1494.0,0.0007953285361642912,-7.136755275638617
59,1.0,5.323484177806501e-07,-14.445967641331379
60,5957.0,0.0031711995247193326,-5.753645363702692
61,1.0,5.323484177806501e-07,-14.445967641331379
62,7560.0,0.004024554038421715,-5.5153411721578
63,30038.0,0.015990681773295167,-4.1357491155658535
64,1.0,5.323484177806501e-07,-14.445967641331379
65,4511.0,0.0024014237126085127,-6.031693503922983
66,1.0,5.323484177806501e-07,-14.445967641331379
67,1.0,5.323484177806501e-07,-14.445967641331379
68,12198.0,0.00649358600008837,-5.036940358474977
69,6001.0,0.003194622855101681,-5.746286240341866
70,4564.0,0.002429638178750887,-6.020012930349413
71,51016.0,0.027158286881497646,-3.6060730533362717
72,5857.0,0.0031179646829412678,-5.770574835241597
73,59895.0,0.03188500848297204,-3.445619333165948
74,9102.0,0.004845435298639477,-5.329718192754792
75,112691.0,0.05999087554811924,-2.8135628025225023
76,31764.0,0.01690951514238457,-4.079878789316278
77,61349.0,0.0326590430824251,-3.4216334912436674
78,1.0,5.323484177806501e-07,-14.445967641331379
79,1.0,5.323484177806501e-07,-14.445967641331379
80,18028.0,0.00959717727574956,-4.64628625752084
81,3008.0,0.0016013040406841954,-6.436936956261649
82,1526.0,0.000812363685533272,-7.115562429486977
83,1.0,5.323484177806501e-07,-14.445967641331379
84,1.0,5.323484177806501e-07,-14.445967641331379
85,13454.0,0.0071622156128208665,-4.938935902745828
86,6032.0,0.0032111256560528813,-5.741133731643587
87,1517.0,0.0008075725497732462,-7.121477661982847
88,1.0,5.323484177806501e-07,-14.445967641331379
89,8945.0,0.004761856597047915,-5.347117645388559
90,1.0,5.323484177806501e-07,-14.445967641331379
91,1500.0,0.0007985226266709752,-7.132747254241077
92,1.0,5.323484177806501e-07,-14.445967641331379
93,30192.0,0.01607266342963339,-4.130635373723048
94,7591.0,0.004041056839372915,-5.51124902731461
95,3011.0,0.0016029010859375374,-6.435940112849646
96,1.0,5.323484177806501e-07,-14.445967641331379
97,25513.0,0.013581805182837726,-4.299024236169163
98,1.0,5.323484177806501e-07,-14.445967641331379
99,161279.0,0.08585662047124547,-2.455076577882286
