2theta,intensity
8.54,73.42144
8.55,64.61086
8.56,54.331863
8.57,64.61086
8.58,64.61086
8.59,69.01615
8.6,57.268723
8.61,57.268723
8.62,66.07929
8.63,66.07929
8.64,76.3583
8.65,99.85316
8.66,57.268723
8.67,51.395008
8.68,66.07929
8.69,70.48458
8.7,74.88987
8.71,74.88987
8.72,67.54772
8.73,61.674007
8.74,77.82673
8.75,57.268723
8.76,76.3583
8.77,64.61086
8.78,54.331863
8.79,66.07929
8.8,95.44787
8.81,77.82673
8.82,63.142437
8.83,63.142437
8.84,64.61086
8.85,67.54772
8.86,80.76358
8.87,51.395008
8.88,67.54772
8.89,88.10573
8.9,85.16887
8.91,66.07929
8.92,66.07929
8.93,52.863438
8.94,63.142437
8.95,76.3583
8.96,57.268723
8.97,61.674007
8.98,66.07929
8.99,74.88987
9.0,60.20558
9.01,60.20558
9.02,73.42144
9.03,64.61086
9.04,61.674007
9.05,76.3583
9.06,64.61086
9.07,85.16887
9.08,64.61086
9.09,51.395008
9.1,66.07929
9.11,63.142437
9.12,70.48458
9.13,49.92658
9.14,57.268723
9.15,71.95301
9.16,55.800293
9.17,57.268723
9.18,57.268723
9.19,52.863438
9.2,67.54772
9.21,49.92658
9.22,63.142437
9.23,69.01615
9.24,52.863438
9.25,66.07929
9.26,73.42144
9.27,55.800293
9.28,55.800293
9.29,45.521294
9.3,57.268723
9.31,60.20558
9.32,70.48458
9.33,51.395008
9.34,69.01615
9.35,63.142437
9.36,73.42144
9.37,71.95301
9.38,73.42144
9.39,42.584435
9.4,74.88987
9.41,63.142437
9.42,66.07929
9.43,51.395008
9.44,63.142437
9.45,67.54772
9.46,57.268723
9.47,77.82673
9.48,64.61086
9.49,46.98972
9.5,76.3583
9.51,63.142437
9.52,74.88987
9.53,83.70044
9.54,80.76358
9.55,77.82673
9.56,80.76358
9.57,69.01615
9.58,69.01615
9.59,57.268723
9.6,82.23201
9.61,49.92658
9.62,54.331863
9.63,88.10573
9.64,69.01615
9.65,51.395008
9.66,83.70044
9.67,66.07929
9.68,83.70044
9.69,63.142437
9.7,74.88987
9.71,77.82673
9.72,83.70044
9.73,88.10573
9.74,73.42144
9.75,96.9163
9.76,77.82673
9.77,129.22173
9.78,124.816444
9.79,145.37445
9.8,154.18503
9.81,165.93245
9.82,245.2276
9.83,264.31717
9.84,234.94861
9.85,227.60646
9.86,193.8326
9.87,152.7166
9.88,95.44787
9.89,92.51102
9.9,88.10573
9.91,83.70044
9.92,69.01615
9.93,63.142437
9.94,77.82673
9.95,54.331863
9.96,71.95301
9.97,61.674007
9.98,77.82673
9.99,76.3583
10.0,76.3583
10.01,70.48458
10.02,61.674007
10.03,66.07929
10.04,71.95301
10.05,70.48458
10.06,71.95301
10.07,74.88987
10.08,71.95301
10.09,46.98972
10.1,57.268723
10.11,52.863438
10.12,76.3583
10.13,63.142437
10.14,64.61086
10.15,61.674007
10.16,61.674007
10.17,60.20558
10.18,80.76358
10.19,93.97944
10.2,77.82673
10.21,89.57416
10.22,60.20558
10.23,74.88987
10.24,66.07929
10.25,66.07929
10.26,80.76358
10.27,52.863438
10.28,76.3583
10.29,79.29515
10.3,63.142437
10.31,61.674007
10.32,77.82673
10.33,66.07929
10.34,92.51102
10.35,85.16887
10.36,114.537445
10.37,105.726875
10.38,93.97944
10.39,89.57416
10.4,129.22173
10.41,142.43759
10.42,124.816444
10.43,129.22173
10.44,168.86931
10.45,182.08517
10.46,264.31717
10.47,295.15417
10.48,311.30692
10.49,346.5492
10.5,464.0235
10.51,550.66077
10.52,735.6828
10.53,879.58887
10.54,1000.0
10.55,866.373
10.56,792.95154
10.57,555.0661
10.58,441.99707
10.59,249.63289
10.6,195.30103
10.61,149.77974
10.62,108.66373
10.63,98.38473
10.64,101.32159
10.65,76.3583
10.66,88.10573
10.67,96.9163
10.68,92.51102
10.69,96.9163
10.7,55.800293
10.71,73.42144
10.72,83.70044
10.73,77.82673
10.74,49.92658
10.75,55.800293
10.76,73.42144
10.77,80.76358
10.78,71.95301
10.79,76.3583
10.8,58.737152
10.81,64.61086
10.82,60.20558
10.83,57.268723
10.84,77.82673
10.85,61.674007
10.86,55.800293
10.87,66.07929
10.88,54.331863
10.89,71.95301
10.9,73.42144
10.91,70.48458
10.92,77.82673
10.93,77.82673
10.94,67.54772
10.95,73.42144
10.96,73.42144
10.97,76.3583
10.98,58.737152
10.99,66.07929
11.0,70.48458
11.01,69.01615
11.02,48.45815
11.03,73.42144
11.04,63.142437
11.05,48.45815
11.06,69.01615
11.07,54.331863
11.08,86.6373
11.09,64.61086
11.1,71.95301
11.11,66.07929
11.12,66.07929
11.13,64.61086
11.14,52.863438
11.15,60.20558
11.16,52.863438
11.17,73.42144
11.18,45.521294
11.19,61.674007
11.2,73.42144
11.21,61.674007
11.22,54.331863
11.23,74.88987
11.24,82.23201
11.25,49.92658
11.26,61.674007
11.27,60.20558
11.28,54.331863
11.29,54.331863
11.3,70.48458
11.31,67.54772
11.32,60.20558
11.33,67.54772
11.34,71.95301
11.35,74.88987
11.36,39.647575
11.37,66.07929
11.38,76.3583
11.39,61.674007
11.4,64.61086
11.41,67.54772
11.42,79.29515
11.43,63.142437
11.44,61.674007
11.45,46.98972
11.46,61.674007
11.47,88.10573
11.48,73.42144
11.49,46.98972
11.5,61.674007
11.51,55.800293
11.52,60.20558
11.53,82.23201
11.54,71.95301
11.55,44.052864
11.56,49.92658
11.57,61.674007
11.58,64.61086
11.59,70.48458
11.6,86.6373
11.61,67.54772
11.62,58.737152
11.63,57.268723
11.64,74.88987
11.65,60.20558
11.66,61.674007
11.67,61.674007
11.68,80.76358
11.69,54.331863
11.7,44.052864
11.71,71.95301
11.72,69.01615
11.73,73.42144
11.74,71.95301
11.75,61.674007
11.76,69.01615
11.77,64.61086
11.78,58.737152
11.79,60.20558
11.8,69.01615
11.81,63.142437
11.82,52.863438
11.83,44.052864
11.84,64.61086
11.85,51.395008
11.86,66.07929
11.87,51.395008
11.88,66.07929
11.89,54.331863
11.9,71.95301
11.91,69.01615
11.92,55.800293
11.93,69.01615
11.94,52.863438
11.95,71.95301
11.96,66.07929
11.97,77.82673
11.98,69.01615
11.99,55.800293
12.0,58.737152
12.01,69.01615
12.02,63.142437
12.03,64.61086
12.04,38.17915
12.05,58.737152
12.06,60.20558
12.07,67.54772
12.08,58.737152
12.09,66.07929
12.1,64.61086
12.11,61.674007
12.12,49.92658
12.13,66.07929
12.14,71.95301
12.15,67.54772
12.16,71.95301
12.17,67.54772
12.18,77.82673
12.19,71.95301
12.2,82.23201
12.21,60.20558
12.22,55.800293
12.23,52.863438
12.24,58.737152
12.25,71.95301
12.26,67.54772
12.27,46.98972
12.28,58.737152
12.29,58.737152
12.3,60.20558
12.31,63.142437
12.32,74.88987
12.33,61.674007
12.34,66.07929
12.35,58.737152
12.36,52.863438
12.37,48.45815
12.38,48.45815
12.39,71.95301
12.4,58.737152
12.41,55.800293
12.42,64.61086
12.43,55.800293
12.44,63.142437
12.45,77.82673
12.46,44.052864
12.47,70.48458
12.48,58.737152
12.49,67.54772
12.5,51.395008
12.51,74.88987
12.52,79.29515
12.53,58.737152
12.54,39.647575
